0.3472,0.3416,0.5,0.3472,0.3416,0.5,0.322
0.363,0.183,0.5,0.139,0.493,0,0.367
0.212,0.492,0.5,0.06,0.241,0,0.412
0.104,0.607,0,0.05,0.753,0,0.36
0.399,0.523,0,0.371,0.106,0.5,0.345
0.435,0.373,0.5,0.045,0.599,0,0.369
0.44,0.687,0,0.284,0.069,0,0.343
0.109,0.333,0,0.717,0.445,0.5,0.275
0.385,0.321,0,0.099,0.129,0.5,0.429
0.351,0.252,0.5,0.288,0.191,0.5,0.378
0.398,0.825,0.5,0.378,0.328,0,0.306
0.259,0.624,0.5,0.403,0.095,0,0.327
0.332,0.307,0.5,0.213,0.626,0,0.336
0.309,0.278,0.5,0.578,0.59,0,0.284
0.349,0.397,0.5,0.238,0.332,0,0.349
0.568,0.238,0,0.136,0.306,0,0.372
0.499,0.108,0,0.275,0.361,0.5,0.361
0.576,0.247,0.5,0.078,0.408,0,0.375
0.895,0.526,0,0.171,0.408,0,0.35
0.434,0.414,0.5,0.101,0.134,0.5,0.43
0.343,0.558,0,0.623,0.407,0,0.28
0.148,0.082,0.5,0.314,0.264,0.5,0.386
0.198,0.134,0,0.533,0.292,0.5,0.319
0.209,0.532,0.5,0.018,0.358,0,0.411
0.598,0.284,0,0.296,0.133,0.5,0.364
0.24,0.534,0.5,0.379,0.756,0,0.292
0.374,0.16,0,0.378,0.06,0.5,0.364
0.293,0.216,0,0.577,0.523,0.5,0.294
0.643,0.19,0,0.276,0.444,0.5,0.349
0.267,0.359,0.5,0.292,0.22,0,0.351
0.525,0.341,0.5,0.158,0.313,0.5,0.388
0.328,0.301,0,0.489,0.645,0,0.291
0.505,0.289,0,0.07,0.49,0.5,0.395
0.499,0.397,0.5,0.278,0.026,0.5,0.381
0.019,0.293,0.5,0.311,0.09,0.5,0.409
0.177,0.496,0,0.439,0.28,0,0.31
0.384,0.008,0,0.731,0.275,0.5,0.296
0.211,0.204,0.5,0.335,0.346,0.5,0.361
0.62,0.34,0.5,0.217,0.353,0.5,0.364
0.411,0.538,0,0.302,0.02,0,0.349
0.383,0.187,0,0.464,0.237,0.5,0.331
0.386,0.103,0.5,0.217,0.452,0,0.355
0.437,0.323,0.5,0.189,0.533,0,0.344
0.332,0.406,0,0.429,0.513,0,0.302
0.368,0.692,0,0.192,0.466,0,0.334
0.549,0.106,0,0.337,0.63,0.5,0.33
0.659,0.665,0,0.272,0.4,0,0.326
0.156,0.04,0.5,0.119,0.385,0.5,0.44
0.06,0.462,0,0.28,0.092,0.5,0.397
0.037,0.293,0.5,0.358,0.182,0.5,0.38
0.255,0.335,0.5,0.134,0.384,0,0.378
0.41,0.002,0,0.417,0.545,0.5,0.325
0.152,0.378,0,0.542,0.484,0,0.286
0.448,0.817,0.5,0.091,0.305,0,0.365
