idx: 7	0.351	0.360	0.355	0.000
idx: 9	0.398	0.390	0.391	0.000
idx: 14	0.387	0.340	0.359	0.000
idx: 16	0.355	0.346	0.350	0.000
idx: 19	0.354	0.385	0.379	0.000
idx: 20	0.353	0.349	0.373	0.000
idx: 22	0.317	0.361	0.351	0.000
idx: 23	0.369	0.344	0.345	0.000
idx: 26	0.366	0.359	0.376	0.000
idx: 27	0.358	0.373	0.361	0.000
idx: 30	0.321	0.361	0.348	0.000
idx: 31	0.360	0.361	0.353	0.000
idx: 34	0.368	0.373	0.374	0.000
idx: 36	0.376	0.373	0.375	0.000
idx: 37	0.352	0.357	0.364	0.000
idx: 38	0.316	0.362	0.361	0.000
idx: 45	0.376	0.364	0.374	0.000
idx: 49	0.363	0.369	0.365	0.000
idx: 52	0.389	0.367	0.373	0.000
idx: 55	0.351	0.352	0.353	0.000
idx: 56	0.382	0.382	0.381	0.000
idx: 57	0.345	0.372	0.359	0.000
idx: 58	0.343	0.382	0.391	0.000
idx: 59	0.366	0.366	0.371	0.000
idx: 61	0.357	0.363	0.374	0.000
idx: 64	0.367	0.354	0.364	0.000
idx: 66	0.361	0.346	0.361	0.000
idx: 67	0.379	0.315	0.321	0.000
idx: 69	0.374	0.340	0.347	0.000
idx: 70	0.393	0.370	0.374	0.000
idx: 76	0.366	0.335	0.353	0.000
idx: 78	0.373	0.358	0.357	0.000
idx: 79	0.346	0.350	0.366	0.000
idx: 82	0.370	0.376	0.378	0.000
idx: 83	0.366	0.339	0.354	0.000
idx: 84	0.349	0.360	0.353	0.000
idx: 86	0.351	0.362	0.359	0.000
idx: 87	0.402	0.319	0.343	0.000
idx: 89	0.424	0.349	0.371	0.000
idx: 90	0.375	0.352	0.367	0.000
idx: 93	0.357	0.399	0.386	0.000
idx: 94	0.381	0.384	0.380	0.000
idx: 97	0.349	0.354	0.357	0.000
idx: 99	0.347	0.387	0.379	0.000
idx: 101	0.354	0.374	0.363	0.000
idx: 103	0.369	0.355	0.376	0.000
idx: 106	0.386	0.323	0.345	0.000
idx: 110	0.391	0.346	0.352	0.000
idx: 119	0.340	0.357	0.356	0.000
idx: 120	0.367	0.341	0.345	0.000
idx: 122	0.360	0.363	0.356	0.000
idx: 123	0.358	0.372	0.366	0.000
idx: 124	0.374	0.365	0.369	0.000
idx: 129	0.350	0.373	0.371	0.000
idx: 131	0.378	0.349	0.361	0.000
idx: 135	0.316	0.359	0.358	0.000
idx: 137	0.344	0.358	0.375	0.000
idx: 139	0.321	0.359	0.354	0.000
idx: 142	0.347	0.354	0.349	0.000
idx: 143	0.376	0.345	0.345	0.000
idx: 144	0.363	0.349	0.357	0.000
idx: 145	0.354	0.345	0.365	0.000
idx: 146	0.354	0.364	0.370	0.000
idx: 149	0.355	0.396	0.389	0.000
idx: 151	0.371	0.358	0.361	0.000
idx: 155	0.353	0.347	0.356	0.000
idx: 156	0.360	0.347	0.346	0.000
idx: 158	0.365	0.339	0.358	0.000
idx: 159	0.359	0.375	0.376	0.000
idx: 160	0.352	0.389	0.389	0.000
idx: 164	0.372	0.335	0.353	0.000
idx: 167	0.371	0.342	0.356	0.000
idx: 171	0.388	0.342	0.348	0.000
idx: 172	0.379	0.350	0.372	0.000
idx: 173	0.378	0.362	0.381	0.000
idx: 176	0.365	0.376	0.373	0.000
idx: 177	0.365	0.385	0.384	0.000
idx: 182	0.347	0.364	0.356	0.000
idx: 183	0.369	0.350	0.345	0.000
idx: 184	0.349	0.348	0.359	0.000
idx: 185	0.377	0.342	0.346	0.000
idx: 186	0.365	0.392	0.394	0.000
idx: 187	0.314	0.349	0.350	0.000
idx: 193	0.355	0.358	0.356	0.000
idx: 196	0.377	0.353	0.354	0.000
idx: 197	0.367	0.331	0.349	0.000
idx: 200	0.385	0.338	0.345	0.000
