idx: 5	0.353	0.324	0.339	1.016
idx: 13	0.335	0.333	0.342	1.011
idx: 21	0.329	0.338	0.336	1.002
idx: 24	0.332	0.334	0.338	1.004
idx: 32	0.364	0.329	0.328	1.021
idx: 33	0.362	0.321	0.329	1.013
idx: 39	0.329	0.346	0.340	1.015
idx: 40	0.340	0.349	0.342	1.031
idx: 41	0.340	0.328	0.338	1.006
idx: 46	0.338	0.326	0.344	1.008
idx: 48	0.350	0.326	0.336	1.012
idx: 65	0.354	0.349	0.346	1.050
idx: 73	0.338	0.341	0.357	1.036
idx: 75	0.355	0.332	0.344	1.031
idx: 77	0.322	0.339	0.340	1.001
idx: 81	0.351	0.326	0.329	1.006
idx: 85	0.320	0.347	0.351	1.019
idx: 88	0.356	0.327	0.337	1.020
idx: 91	0.355	0.319	0.336	1.009
idx: 92	0.344	0.352	0.348	1.044
idx: 96	0.374	0.328	0.331	1.033
idx: 98	0.356	0.330	0.342	1.028
idx: 102	0.331	0.342	0.347	1.020
idx: 105	0.317	0.345	0.352	1.014
idx: 108	0.324	0.333	0.346	1.003
idx: 112	0.338	0.324	0.345	1.007
idx: 114	0.353	0.343	0.344	1.041
idx: 116	0.354	0.347	0.346	1.047
idx: 117	0.336	0.335	0.347	1.018
idx: 130	0.328	0.346	0.343	1.017
idx: 132	0.352	0.346	0.344	1.042
idx: 134	0.347	0.337	0.345	1.029
idx: 136	0.337	0.349	0.355	1.040
idx: 150	0.340	0.334	0.336	1.011
idx: 152	0.342	0.325	0.333	1.000
idx: 157	0.330	0.326	0.350	1.006
idx: 166	0.342	0.332	0.347	1.021
idx: 174	0.333	0.339	0.338	1.010
idx: 178	0.333	0.331	0.357	1.021
idx: 180	0.347	0.332	0.351	1.030
idx: 189	0.314	0.344	0.345	1.003
idx: 190	0.337	0.344	0.355	1.035
idx: 192	0.343	0.336	0.343	1.022
idx: 194	0.333	0.332	0.340	1.005
idx: 199	0.336	0.333	0.348	1.017
idx: 201	0.343	0.336	0.338	1.017
idx: 208	0.330	0.342	0.348	1.019
idx: 225	0.334	0.333	0.346	1.014
idx: 231	0.360	0.343	0.345	1.048
idx: 233	0.321	0.330	0.355	1.006
idx: 235	0.343	0.330	0.340	1.013
idx: 238	0.346	0.345	0.355	1.046
idx: 242	0.339	0.347	0.355	1.042
idx: 243	0.330	0.335	0.341	1.006
idx: 244	0.357	0.335	0.345	1.038
idx: 245	0.351	0.319	0.339	1.009
idx: 247	0.337	0.357	0.340	1.034
idx: 251	0.341	0.339	0.351	1.031
idx: 253	0.360	0.337	0.347	1.045
idx: 254	0.349	0.332	0.337	1.018
idx: 258	0.315	0.340	0.346	1.000
idx: 262	0.335	0.341	0.343	1.020
idx: 265	0.340	0.330	0.352	1.022
idx: 266	0.333	0.336	0.347	1.017
idx: 269	0.341	0.355	0.353	1.049
idx: 272	0.361	0.336	0.352	1.048
idx: 274	0.324	0.345	0.350	1.020
idx: 276	0.326	0.341	0.345	1.012
idx: 279	0.330	0.351	0.351	1.032
